2.000000000000000000e+00 1.825837641954421997e-01
3.000000000000000000e+00 1.436797976493835449e-01
4.000000000000000000e+00 1.653230339288711548e-01
5.000000000000000000e+00 1.673599332571029663e-01
6.000000000000000000e+00 1.627995222806930542e-01
7.000000000000000000e+00 1.407472193241119385e-01
8.000000000000000000e+00 9.954428672790527344e-02
9.000000000000000000e+00 6.842209398746490479e-02
1.000000000000000000e+01 6.898742914199829102e-02
1.100000000000000000e+01 6.712254881858825684e-02
1.200000000000000000e+01 9.966321289539337158e-02
1.300000000000000000e+01 9.791818261146545410e-02
1.400000000000000000e+01 1.005315333604812622e-01
1.500000000000000000e+01 8.410941064357757568e-02
1.600000000000000000e+01 7.799849659204483032e-02
1.700000000000000000e+01 5.431718751788139343e-02
1.800000000000000000e+01 1.712380535900592804e-02
